"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
5031,"TURIA, Tariana","2014-09-20",0,0,0,0,5,"Maori",0
5068,"KEDGLEY, Sue","2011-11-26",0,0,0,0,3,"GP",0
5221,"KING, Colin","2014-09-20",0,0,0,0,3,"National",1
5283,"BLUE, Jackie","2014-09-20",0,0,0,0,3,"National",1
5288,"TREMAIN, Chris","2014-09-20",0,1,0,0,3,"National",1
5319,"JONES, Shane","2014-09-20",0,0,0,0,3,"Labour",0
5327,"CHAUVEL, Charles","2014-09-20",0,0,0,0,2,"Labour",0
5328,"SHANKS, Katrina","2014-09-20",0,0,0,0,2,"National",1
5390,"PEACHEY, Allan","2011-11-26",0,0,0,0,2,"National",1
5393,"SHARPLES, Pita","2014-09-20",0,0,0,0,3,"Maori",0
5410,"CLARKSON, Bob","2008-11-08",0,0,0,0,1,"National",0
5441,"WILKINSON, Kate","2014-09-20",0,1,0,0,3,"National",1
5446,"HAYES, John","2014-09-20",0,0,0,0,3,"National",1
5461,"BLUMSKY, Mark","2008-11-08",0,0,0,0,1,"National",0
5467,"AUCHINVOLE, Chris","2014-09-20",0,0,0,0,3,"National",1
5536,"HORAN, Brendan","2014-09-20",0,0,0,0,1,"NZF",0
5552,"FENTON, Darien","2011-11-26",0,0,0,0,1,"Labour",0
5553,"GARRETT, David","2011-11-26",0,0,0,0,1,"ACT",0
5557,"DOUGLAS, Roger Owen","2011-11-26",0,0,0,0,1,"ACT",0
5601,"CALDER, Cam","2014-09-20",0,0,0,0,1,"National",1
5647,"HUGHES, Gareth","2014-09-20",0,0,0,0,1,"GP",0
5861,"BANKS, John","2014-09-20",0,0,0,0,1,"ACT",0
5943,"WILLIAMS, Andrew","2014-09-20",0,0,0,0,1,"NZF",0
5964,"CARTER, David","2014-09-20",0,1,0,0,1,"National",1
