Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Manawatu	9/1/1951	Rodgers BA	Labour	4827	0	
Marlborough	9/1/1951	Shand TP	National	8175	1	
Marlborough	9/1/1951	Meachen EP	Labour	5723	0	
Marsden	9/1/1951	Murdoch AJ	National	9031	1	
Marsden	9/1/1951	Hosking MA	Labour	5030	0	
Miramar	9/1/1951	Semple R	Labour	6785	1	
Miramar	9/1/1951	Taylor CH	National	6284	0	
Mornington	9/1/1951	Hudson WA	Labour	9168	1	
Mornington	9/1/1951	Pilling RG	National	5385	0	
Mornington	9/1/1951	Hannan JJ	C	121	0	
Mount Victoria	9/1/1951	Marshall JR	National	6556	1	
Mount Victoria	9/1/1951	Kitts FJ	Labour	4358	0	
Mt Albert	9/1/1951	Freer WW	Labour	7092	1	
Mt Albert	9/1/1951	Judson RF	National	6488	0	
Napier	9/1/1951	Tait P	National	7375	1	
Napier	9/1/1951	Armstrong AE	Labour	7331	0	
Nelson	9/1/1951	Neale ER	National	9425	1	
Nelson	9/1/1951	Whitehead SA	Labour	6594	0	
New Plymouth	9/1/1951	Aderman EP	National	8816	1	
New Plymouth	9/1/1951	Parker CR	Labour	6481	0	
North Shore	9/1/1951	Eyre DJ	National	8328	1	
North Shore	9/1/1951	Wrathall RNSJ	Labour	6173	0	
Northern Maori	9/1/1951	Paikea TP	Labour	5812	1	
Northern Maori	9/1/1951	Henare JT	National	3680	0	
Oamaru	9/1/1951	Hayman TL	National	7736	1	
Oamaru	9/1/1951	Ryan CJ	Labour	6421	0	
Onehunga	9/1/1951	Osborne AG	Labour	8017	1	
Onehunga	9/1/1951	Bradley LG	National	6051	0	
Onslow	9/1/1951	Combs HE	Labour	9539	1	
Onslow	9/1/1951	Meadowcroft JS	National	8433	0	
